parameter_value,run_1,run_2,run_3,run_4,run_5,average_best_distance,best_of_runs,worst_of_runs
50,284.9086349261763,284.90863492617626,335.6393283026411,,,301.81886605166454,284.90863492617626,335.6393283026411
100,284.9086349261763,284.90863492617626,326.1919818860156,,,298.6697505794561,284.90863492617626,326.1919818860156
150,284.9086349261763,284.90863492617626,326.1919818860156,,,298.6697505794561,284.90863492617626,326.1919818860156
200,284.9086349261763,284.90863492617626,326.1919818860156,,,298.6697505794561,284.90863492617626,326.1919818860156
300,284.9086349261763,284.90863492617626,326.1919818860156,,,298.6697505794561,284.90863492617626,326.1919818860156
