parameter_value,run_1,run_2,run_3,run_4,run_5,average_best_distance,best_of_runs,worst_of_runs
0.005,284.9086349261763,284.90863492617626,284.9086349261763,,,284.9086349261763,284.90863492617626,284.9086349261763
0.01,284.90863492617626,284.9086349261763,284.9086349261763,,,284.9086349261763,284.90863492617626,284.9086349261763
0.02,284.9086349261763,284.90863492617626,326.1919818860156,,,298.6697505794561,284.90863492617626,326.1919818860156
0.05,284.9086349261763,284.90863492617626,284.9086349261763,,,284.9086349261763,284.90863492617626,284.9086349261763
0.1,284.9086349261763,284.9086349261763,284.9086349261763,,,284.9086349261763,284.9086349261763,284.9086349261763
