population_size,run_1,run_2,run_3,run_4,run_5,average_best_distance,best_of_runs,worst_of_runs
20,284.9086349261763,359.49573045295466,284.90863492617626,284.9086349261763,389.0678607744349,320.6578992011837,284.90863492617626,389.0678607744349
50,284.90863492617626,284.9086349261763,284.90863492617626,284.9086349261763,307.1760275229923,289.3621134455395,284.90863492617626,307.1760275229923
100,284.9086349261763,345.453493139971,324.09687112167836,284.9086349261763,284.9086349261763,304.8552538080356,284.9086349261763,345.453493139971
150,284.9086349261763,284.9086349261763,284.9086349261763,284.9086349261763,284.9086349261763,284.9086349261763,284.9086349261763,284.9086349261763
200,284.90863492617626,284.9086349261763,284.9086349261763,284.9086349261763,284.9086349261763,284.9086349261763,284.90863492617626,284.9086349261763
